id,comment,offensive_label,link_post,rationales_annotator1,rationales_annotator2
1,Mais um lixo,1,https://www.instagram.com/p/B2uThqdH9xI/,Mais um lixo,mais um lixo
2,Essa nao tem vergonha na cara!!,1,https://www.instagram.com/p/B2uThqdH9xI/,Essa nao tem vergonha na cara,nao tem vergonha na cara
3,Essa mulher é doente.pilantra!,1,https://www.instagram.com/p/B2uThqdH9xI/,doente; pilantra,doente; pilantra
4,Comunista safada...,1,https://www.instagram.com/p/B2uThqdH9xI/,Comunista safada,comunista; safada
5,Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,1,https://www.instagram.com/p/B2uThqdH9xI/,Vagabunda. Comunista. Mentirosa; desgraça desta,comunista; mentirosa; nao merece uma desgraça desta; vagabunda
6,"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",1,https://www.instagram.com/p/B2uThqdH9xI/,COMUNISTA SAFADA; MALPARIDA; MAMAGUEVA; DESGRAÇADA; COÑO É TU MADRE,SAFADA; MALPARIDA; MAMAGUEVA; DESGRAÇADA; COMUNISTA
7,Besta quadrada.,1,https://www.instagram.com/p/B2uThqdH9xI/,Besta quadrada.,besta quadrada
8,Se elegeu as nossas custas,1,https://www.instagram.com/p/B2uThqdH9xI/,Se elegeu as nossas custas,se elegeu as nossas custas
9,Comunista lixo!,1,https://www.instagram.com/p/B2uThqdH9xI/,Comunista; lixo,Comunista lixo
10,"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",1,https://www.instagram.com/p/B2uThqdH9xI/,Quem tem pena é galinha; VACA LOUCA,ela é uma VACA LOUCA
11,Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.,1,https://www.instagram.com/p/B2uThqdH9xI/,plantar batata no asfalto; Puta que pariu; tamborete de bordel,Puta que pariu; tamborete de bordel; se acha no direito; plantar batata no asfalto
12,Mulherzinha safada,1,https://www.instagram.com/p/B2uThqdH9xI/,Mulherzinha; safada;,mulherzinha safada
13,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,1,https://www.instagram.com/p/B2uThqdH9xI/,Oportunista; corrupta; os Comunistas querem se fazer de vítimas,oportunista essa corrupta
14,Porque é uma bandida,1,https://www.instagram.com/p/B2uThqdH9xI/,bandida,porque é uma bandida
15,Mentem e roubam..... Não vai mais mamar.....,1,https://www.instagram.com/p/B2uThqdH9xI/,Mentem e roubam; Não vai mais mamar,Mentem e roubam; Não vai mais mamar;
16,Tudo igual. Só pensam no próprio rabo,1,https://www.instagram.com/p/B2uThqdH9xI/,Só pensam no próprio rabo,Só pensam no próprio rabo
17,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,1,https://www.instagram.com/p/B2uThqdH9xI/,Plano da esquerda foi é e será sempre críticar; único plano era como roubar,nunca teve um plano de governo; o único plano era como roubar
18,"Guarde sua ""pena"" ...nos da ânsia de vômito",1,https://www.instagram.com/p/B2uThqdH9xI/,nos da ânsia de vômito,nos dá ânsia de vômito
19,Quem não têm caráter é contra o presidente Bolsonaro,1,https://www.instagram.com/p/B2uThqdH9xI/,não têm caráter,Quem não têm caráter é contra o presidente Bolsonaro
20,O problema dela é que a tetinha secou,1,https://www.instagram.com/p/B2uThqdH9xI/,tetinha secou,tetinha secou
21,Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.,1,https://www.instagram.com/p/B2uThqdH9xI/,ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado,ainda vai acreditar nesta farsante; não acredito em um fio do seu cabelo pintado
22,Ela tem cara de homem né? Macron deve achar gata,1,https://www.instagram.com/p/B2uThqdH9xI/,Ela tem cara de homem né?,Ela tem cara de homem né?
23,É uma cara de pau mesmo... 😡,1,https://www.instagram.com/p/B2uThqdH9xI/,cara de pau,É uma cara de pau mesmo
24,Nojo dessa pilantra,1,https://www.instagram.com/p/B2uThqdH9xI/,Nojo dessa pilantra,nojo dessa pilantra
25,Olha ai a hipocrisia dessa mulher,1,https://www.instagram.com/p/B2uThqdH9xI/,hipocrisia,a hipocrisia dessa mulher
