"comments","human label","NoHateBrazil label","PRS(%)","Model Score","Match","diff_scores"
"Ridícula nunca será primeira dama !! E levou um fora da primeira dama dos EUA jkkkkkkkkk","offensive","offensive",50,60,100,40
"Hum homem com um discurso de ódio, rancor e vingança, não demonstra ser um Presidente de nenhum país. Esse discurso foi de um candidato, mas nunca de um Presidente. Está seguindo a mesma cartilha que maduro usou.","offensive","no-offensive",100,99,0,-99
"Cadê as bandeiras do Brasil?! Estamos vendo a ascensão do comunismo no Brasil e de tudo o que vem de pior com ele: corrupção, pobreza, perseguição e censura. Que dia triste. Muitos vão acordar ainda e o arrependimento virá","offensive","no-offensive",100,99,0,-99
"Todos, todas, todes, ideologia de gênero, aborto, comunismo, socialismo… Esta culpa não carrego nos ombros!","offensive","no-offensive",99,98,0,-98
"Tá pensando q vc será com a Primeira Dama Michelle??? Nunca! Vc é primeira dama do bandido","offensive","offensive",99,100,100,0
"A galera indignada nos comentários com um presidente tão ridiculo, e os petistas achando graça. O pior é que vamos nos fuder todos juntos. Dizem que o ""bolsonarista"" é odioso, mas é o único que luta pelos DOIS LADOS junto. Querendo um Brasil melhor, melhora para os dois","offensive","no-offensive",56,54,0,-54
"Já tá leiloando a Amazônia Lula? Você não tem vergonha de entregar as riquezas do seu próprio país rapaz?","offensive","offensive",99,100,100,0
"Vcs tem muita coisa em comum, sao corruptos e os filhos são umas tranqueiras","offensive","offensive",99,100,100,0
"Quadrilha restaurada com sucesso!! Viva o amor a bandidagemm !!","offensive","offensive",99,100,100,0
"O judiciário mais vergonhoso do mundo COLOCARAM UM BANDIDO NA PRESIDENCIA DA REPUBLICA BRASIL NAO TEM JEITO","offensive","offensive",99,100,100,0
"A corja suja no poder agora pode sorrir.","offensive","offensive",90,100,100,0
"O invejoso ali atrás, parece um espírito obsessor","offensive","offensive",99,100,100,0
"Esse supremo aí de guardião não tem nada só se for guardião de gente da tua laia, guardião de ladrão","offensive","offensive",99,100,100,0
"Vagabund ministra vendida corrupta, quando vc m0rrer o inferno vai ser o lugar de vcs","offensive","offensive",99,100,100,0
" idiotice humana... Fazer as mesmas coisas, colocar as mesmas pessoas esperando resultados diferentes. Vcs são loucos, como dizia o filósofo: ""É preferivel o insatisfatorio mas conhecido, e assim repetinos o padrao que não da certo mas traz ""segurança"".","offensive","offensive",95,94,100,6
"Impossível ter sido eleito pelo voto , só estão te zoando? Tenha vergonha na cara , essa eleição foi muito fraudada !","offensive","offensive",99,100,100,0
"Lula, você é o maior picareta que esse país já viu","offensive","no-offensive",54,56,0,-56
"Damares. Bozo.. E sua corja. Cadeia sem ANISTIA","offensive","offensive",90,100,100,0
"""Entra no carro, otário. vamos recuperar a américa do sul”","offensive","offensive",99,100,100,0
"É isso aí Lula, deixa os bolsoloides falar oque quizer , o dono dos gado kkk tá morre mas não morre , e coisa ruim morre fácil kkkk","offensive","offensive",98,97,100,3
"Acho ridículo tudo isso não tem clima pra carnaval depois que seu marido assumiu a presidência nem covid mas a globo mostra 🤣🤣","offensive","offensive",99,100,100,0
"Mas é invejosa 😂","offensive","offensive",99,100,100,0
"Você toma vergonha na cara , tinha que mandar o povo ficar em casa , ou a COVID acabou?","offensive","offensive",99,100,100,0
"Quanto custou a obra no Palácio?? 216mil em hotel de luxo , isso é dá ser o povo de palhaço né ? #foralula","offensive","offensive",86,94,100,6
"A MAMATA VOLTOU, LIBERADO DINHEIRO PARA ARTISTAS RICOS....","offensive","offensive",34,76,100,24
"esquerdopatia e assim mesmo, dificilmente assimila as coisas. Difícil 😂😂😂😂","offensive","offensive",67,66,100,34
"DEPOIS QUE A CANJA MICK JEGUER FOI VER O JOGO DO MENGÃO, NÃO GANHAMOS MAIS NADA! FICA EM CASA OU VAI VER JOGO DO CURINTIA COM O LALAU!","offensive","offensive",77,76,100,24
"Chupaaaaaaaa flamenguista de merda!!!","offensive","offensive",99,100,100,0
"Para com esse teatro vagabundo","offensive","offensive",99,100,100,0
"Quantos respiradores ou quantas vacina a Xuxa doou na pandemia? Que moral ela tem ? Nem uma moral ! Nunca fez nada de útil para nosso Brasil! Só pega bilhões e vaza !!! Mais essa sempre é a tática do PT ! Tirar do pobre coitado e dar para os milionários, acho é pouco para quem votou nessa quadrilha do PT","offensive","offensive",99,100,100,0
"Muito lindo e elegante, papi ❤️","no-offensive","no-offensive",99,100,100,0
"Boa viagem! Presidente, te esperando aqui na Bahia na próxima semana com muito orgulho 🙌👏👏👏👏👏😍","no-offensive","no-offensive",99,100,100,0
"O sorriso de quem venceu a luta.","no-offensive","no-offensive",57,56,100,44
"A democracia e as instituições cada vez mais forte!","no-offensive","no-offensive",98,97,100,3
"Presidente isso sim é a prova da nossa vitória no nosso acreditar . Viva a história viva a nossa democracia .","no-offensive","no-offensive",99,100,100,0
"É precioso sentir novamente o Brasil avançando democraticamente. Que façamos o L com todo orgulho neste mundo.","no-offensive","no-offensive",99,100,100,0
"😍👏👏👏👏 A harmonia entre os poderes nunca foi tão bem representada como no dia de hoje, parabéns meu presidente Lula 😍👏","no-offensive","no-offensive",10,100,100,0
"Só Lula pra dar dignidade ao povo e ao próprio STF. Que aprendam com Lula como se perdoa injustiças. Luuuuuuula!","no-offensive","no-offensive",16,94,100,6
"Parabéns querido presidente Lula Deus abençoe o senhor poderosamente","no-offensive","no-offensive",10,100,100,0
"Que diferença de discurso! Poderes plenos e independentes fortalecem nossa democracia.","no-offensive","no-offensive",99,100,100,0
"Janja é elegante na simplicidade. Tem desenvoltura de Primeira Dama. Parece que sempre esteve neste lugar. É Socióloga. Não precisa de roupa para se destacar.","no-offensive","no-offensive",98,97,100,3
"Janja nossa próxima Presidenta !","no-offensive","no-offensive",65,64,100,36
"Tão feliz de poder ver isso tudo! ❤️","no-offensive","no-offensive",98,97,100,3
